protocol,srcaddr,srcport,destaddr,dstport,result
UDP,127.0.0.1,65152,127.0.0.1,5723,[OK]
UDP,127.0.0.1,65151,127.0.0.1,138,[OK]
UDP,127.0.0.1,65153,127.0.0.1,1434,[OK]
UDP,127.0.0.1,65150,127.0.0.1,137,[OK]
TCP,127.0.0.1,58190,127.0.0.1,1434,[OK]
TCP,127.0.0.1,58194,127.0.0.1,1433,[OK]
TCP,127.0.0.1,58206,127.0.0.1,1434,[OK]
TCP,127.0.0.1,58223,127.0.0.1,161,[OK]
TCP,127.0.0.1,58197,127.0.0.1,51906,[OK]
TCP,127.0.0.1,58189,127.0.0.1,80,[OK]
TCP,127.0.0.1,58196,127.0.0.1,51907,[OK]
TCP,127.0.0.1,58221,127.0.0.1,5986,[OK]
TCP,127.0.0.1,58193,127.0.0.1,1433,[OK]
TCP,127.0.0.1,58222,127.0.0.1,162,[OK]
TCP,127.0.0.1,58220,127.0.0.1,1270,[OK]
TCP,127.0.0.1,58217,127.0.0.1,443,[OK]
TCP,127.0.0.1,58219,127.0.0.1,22,[OK]
TCP,127.0.0.1,58202,127.0.0.1,51909,[OK]
TCP,127.0.0.1,58203,127.0.0.1,5724,[OK]
TCP,127.0.0.1,58200,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58192,127.0.0.1,5985,[OK]
TCP,127.0.0.1,58198,127.0.0.1,80,[OK]
TCP,127.0.0.1,58191,127.0.0.1,80,[OK]
TCP,127.0.0.1,58212,127.0.0.1,139,[OK]
TCP,127.0.0.1,58209,127.0.0.1,5724,[OK]
TCP,127.0.0.1,58204,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58195,127.0.0.1,1433,[OK]
TCP,127.0.0.1,58201,127.0.0.1,51905,[OK]
TCP,127.0.0.1,58188,127.0.0.1,5724,[OK]
TCP,127.0.0.1,58213,127.0.0.1,1433,[OK]
TCP,127.0.0.1,58215,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58208,127.0.0.1,1433,[OK]
TCP,127.0.0.1,58214,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58211,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58210,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58207,127.0.0.1,5723,[OK]
TCP,127.0.0.1,58199,127.0.0.1,80,[OK]
TCP,127.0.0.1,58205,127.0.0.1,1433,[OK]
